ID,Counties,Schools,Gbask,Girls Basketball,Bbask,Boys Basketball,Foot,Football,Voll,Volleyball,Wres,Wrestling,TotalC,Total,FIPSCode
1,Adams,5,2,0.4,3,0.6,2,0.4,2,0.4,0,0,9,1.8,f1
2,Antelope,4,0,0,0,0,2,0.5,0,0,0,0,2,0.5,f3
3,Arthur,1,0,0,0,0,0,0,0,0,0,0,0,0,f5
4,Banner,1,0,0,0,0,0,0,0,0,0,0,0,0,f7
5,Blaine,1,0,0,0,0,0,0,0,0,0,0,0,0,f9
6,Boone,3,0,0,0,0,1,0.33,0,0,0,0,1,0.33,f11
7,Box Butte,2,0,0,0,0,1,0.5,0,0,0,0,1,0.5,f13
8,Boyd,3,0,0,0,0,0,0,0,0,0,0,0,0,f15
9,Brown,1,0,0,0,0,0,0,0,0,0,0,0,0,f17
10,Buffalo,10,1,0.1,2,0.2,0,0,4,0.4,7,0.7,14,1.4,f19
11,Burt,3,0,0,0,0,0,0,0,0,0,0,0,0,f21
12,Butler,4,0,0,0,0,5,1.25,1,0.25,2,0.5,8,2,f23
13,Cass,5,0,0,0,0,0,0,0,0,0,0,0,0,f25
14,Cedar,6,11,1.83,2,0.33,0,0,1,0.17,0,0,14,2.33,f27
15,Chase,2,0,0,0,0,0,0,0,0,0,0,0,0,f29
16,Cherry,2,0,0,0,0,0,0,0,0,3,1.5,3,1.5,f31
17,Cheyenne,3,0,0,0,0,0,0,0,0,0,0,0,0,f33
18,Clay,4,2,0.5,0,0,0,0,0,0,0,0,2,0.5,f35
19,Colfax,4,2,0.5,1,0.25,2,0.5,1,0.25,1,0.25,7,1.75,f37
20,Cuming,4,2,0.5,2,0.5,1,0.25,0,0,0,0,5,1.25,f39
21,Custer,6,0,0,0,0,1,0.17,0,0,0,0,1,0.17,f41
22,Dakota,2,1,0.5,3,1.5,0,0,0,0,0,0,4,2,f43
23,Dawes,2,0,0,0,0,0,0,0,0,0,0,0,0,f45
24,Dawson,5,0,0,0,0,1,0.2,0,0,0,0,1,0.2,f47
25,Deuel,2,0,0,0,0,0,0,0,0,0,0,0,0,f49
26,Dixon,3,1,0.33,2,0.67,1,0.33,0,0,0,0,4,1.33,f51
27,Dodge,6,1,0.17,1,0.17,0,0,1,0.17,0,0,3,0.5,f53
28,Douglas,29,6,0.21,10,0.34,14,0.48,12,0.41,13,0.45,55,1.9,f55
29,Dundy,1,0,0,0,0,0,0,0,0,0,0,0,0,f57
30,Fillmore,4,0,0,1,0.25,2,0.5,5,1.25,0,0,8,2,f59
31,Franklin,1,0,0,0,0,0,0,0,0,0,0,0,0,f61
32,Frontier,3,0,0,0,0,0,0,0,0,0,0,0,0,f63
33,Furnas,3,0,0,1,0.33,0,0,0,0,0,0,1,0.33,f65
34,Gage,4,0,0,1,0.25,0,0,1,0.25,0,0,2,0.5,f67
35,Garden,1,0,0,0,0,0,0,0,0,0,0,0,0,f69
36,Garfield,1,0,0,0,0,1,1,0,0,2,2,3,3,f71
37,Gosper,1,0,0,0,0,0,0,0,0,0,0,0,0,f73
38,Grant,1,0,0,0,0,0,0,0,0,0,0,0,0,f75
39,Greeley,4,0,0,0,0,0,0,1,0.25,0,0,1,0.25,f77
40,Hall,6,3,0.5,0,0,1,0.17,2,0.33,6,1,12,2,f79
41,Hamilton,3,0,0,2,0.67,3,1,3,1,0,0,8,2.67,f81
42,Harlan,1,0,0,0,0,0,0,0,0,0,0,0,0,f83
43,Hayes,1,0,0,0,0,0,0,0,0,0,0,0,0,f85
44,Hitchcock,1,0,0,0,0,0,0,0,0,0,0,0,0,f87
45,Holt,6,1,0.17,2,0.33,1,0.17,2,0.33,1,0.17,7,1.17,f89
46,Hooker,1,0,0,1,1,0,0,0,0,0,0,1,1,f91
47,Howard,2,0,0,0,0,0,0,0,0,0,0,0,0,f93
48,Jefferson,3,0,0,0,0,0,0,0,0,0,0,0,0,f95
49,Johnson,2,0,0,0,0,0,0,0,0,0,0,0,0,f97
50,Kearney,3,0,0,0,0,0,0,0,0,0,0,0,0,f99
51,Keith,2,0,0,0,0,0,0,0,0,0,0,0,0,f101
52,Keya Paha,1,0,0,0,0,0,0,0,0,0,0,0,0,f103
53,Kimball,1,0,0,0,0,0,0,0,0,0,0,0,0,f105
54,Knox,7,0,0,0,0,1,0.14,0,0,0,0,1,0.14,f107
55,Lancaster,13,5,0.38,2,0.15,1,0.08,3,0.23,1,0.08,12,0.92,f109
56,Lincoln,7,0,0,0,0,0,0,0,0,0,0,0,0,f111
57,Logan,1,0,0,0,0,0,0,0,0,0,0,0,0,f113
58,Loup,1,0,0,0,0,0,0,0,0,0,0,0,0,f115
59,Madison,7,1,0.14,2,0.29,4,0.57,2,0.29,1,0.14,10,1.43,f117
60,McPherson,1,0,0,0,0,0,0,0,0,0,0,0,0,f119
61,Merrick,3,0,0,0,0,0,0,0,0,3,1,3,1,f121
62,Morrill,2,0,0,0,0,0,0,0,0,0,0,0,0,f123
63,Nance,2,0,0,0,0,0,0,0,0,0,0,0,0,f125
64,Nemaha,2,0,0,2,1,1,0.5,3,1.5,0,0,6,3,f127
65,Nuckolls,2,1,0.5,0,0,0,0,2,1,0,0,3,1.5,f129
66,Otoe,2,0,0,3,1.5,0,0,0,0,0,0,3,1.5,f131
67,Pawnee,2,0,0,0,0,0,0,0,0,0,0,0,0,f133
68,Perkins,1,0,0,0,0,0,0,0,0,0,0,0,0,f135
69,Phelps,3,0,0,0,0,0,0,0,0,0,0,0,0,f137
70,Pierce,3,3,1,0,0,0,0,0,0,0,0,3,1,f139
71,Platte,6,2,0.33,2,0.33,3,0.5,4,0.67,0,0,11,1.83,f141
72,Polk,4,0,0,1,0.25,0,0,0,0,0,0,1,0.25,f143
73,Red Willow,2,0,0,0,0,0,0,0,0,0,0,0,0,f145
74,Richardson,5,3,0.6,1,0.2,2,0.4,0,0,0,0,6,1.2,f147
75,Rock,1,1,1,0,0,0,0,0,0,0,0,1,1,f149
76,Saline,4,1,0.25,0,0,2,0.5,0,0,0,0,3,0.75,f151
77,Sarpy,8,3,0.38,4,0.5,2,0.25,5,0.63,0,0,14,1.75,f153
78,Saunders,6,2,0.33,5,0.83,1,0.17,2,0.33,0,0,10,1.67,f155
79,Scotts Bluff,5,0,0,1,0.2,0,0,0,0,1,0.2,2,0.4,f157
80,Seward,3,3,1,0,0,1,0.33,0,0,0,0,4,1.33,f159
81,Sheridan,2,0,0,0,0,0,0,0,0,0,0,0,0,f161
82,Sherman,2,0,0,0,0,0,0,0,0,0,0,0,0,f163
83,Sioux,1,0,0,0,0,0,0,0,0,0,0,0,0,f165
84,Stanton,1,0,0,0,0,0,0,1,1,0,0,1,1,f167
85,Thayer,3,0,0,0,0,2,0.67,1,0.33,0,0,3,1,f169
86,Thomas,1,0,0,0,0,0,0,0,0,0,0,0,0,f171
87,Thurston,5,2,0.4,1,0.2,0,0,0,0,0,0,3,0.6,f173
88,Valley,2,0,0,0,0,0,0,0,0,0,0,0,0,f175
89,Washington,3,0,0,0,0,0,0,0,0,0,0,0,0,f177
90,Wayne,3,0,0,0,0,0,0,0,0,0,0,0,0,f179
91,Webster,2,0,0,0,0,0,0,1,0.5,0,0,1,0.5,f181
92,Wheeler,1,0,0,0,0,0,0,0,0,0,0,0,0,f183
93,York,4,0,0,1,0.25,1,0.25,0,0,0,0,2,0.5,f185
